is_member_true,score_lr,score_rf,pred_lr,pred_rf
1,0.4993691558190712,0.585,0,1
1,0.4999028479965209,0.55,0,1
1,0.5012357701366055,0.575,1,1
1,0.5015719869034798,0.615,1,1
1,0.5008295702362584,0.58,1,1
1,0.5019287904518752,0.625,1,1
1,0.4997629285848386,0.59,0,1
1,0.5019097677520616,0.63,1,1
1,0.5004741548763291,0.59,1,1
1,0.5005137162085019,0.585,1,1
1,0.5011546817993273,0.62,1,1
1,0.5024183477892837,0.625,1,1
1,0.5021647202074472,0.62,1,1
1,0.5010749844275029,0.61,1,1
1,0.501565616069445,0.59,1,1
1,0.5014227601834318,0.635,1,1
1,0.5010064771505279,0.595,1,1
1,0.5002869251387964,0.565,1,1
1,0.500124829421609,0.5616666666666668,1,1
1,0.5021092774104361,0.6,1,1
1,0.4993367840285426,0.575,0,1
1,0.5014754503136293,0.64,1,1
1,0.5025665480077831,0.645,1,1
1,0.5026012270626965,0.655,1,1
1,0.5012094341498665,0.605,1,1
1,0.4993877252948995,0.585,0,1
1,0.5024265627231002,0.615,1,1
1,0.4995656513510666,0.57,0,1
1,0.5001611365764027,0.565,1,1
1,0.5025360342988766,0.63,1,1
1,0.5015664972441688,0.625,1,1
1,0.5014014991496109,0.585,1,1
1,0.4993897801417831,0.585,0,1
1,0.5015638916457301,0.62,1,1
1,0.5015588512421669,0.625,1,1
1,0.5014444260516107,0.645,1,1
1,0.5012214003214727,0.585,1,1
1,0.5013614958267113,0.615,1,1
1,0.5014536830745344,0.645,1,1
1,0.49958848245828513,0.58,0,1
1,0.5011186319938921,0.62,1,1
1,0.5002413328153164,0.57,1,1
1,0.5003854259042362,0.595,1,1
1,0.5020858297739325,0.59,1,1
1,0.5026187322435185,0.645,1,1
1,0.4999867230539742,0.595,0,1
1,0.5017010939631825,0.65,1,1
1,0.5008926346984797,0.59,1,1
1,0.5029573730691975,0.64,1,1
1,0.5016004725974881,0.63,1,1
1,0.49947005733451544,0.585,0,1
1,0.500842172054775,0.58,1,1
1,0.5028418181471052,0.635,1,1
1,0.4993889002995175,0.57,0,1
1,0.5018352106131063,0.62,1,1
1,0.5010015133968032,0.58,1,1
1,0.5012728631717727,0.6,1,1
1,0.5017694781038939,0.595,1,1
1,0.4994237369760882,0.58,0,1
1,0.5030096601581425,0.645,1,1
1,0.5017802060273153,0.605,1,1
1,0.49922878013263816,0.575,0,1
1,0.5004843070492172,0.56,1,1
1,0.501354199327435,0.6,1,1
1,0.5013549311865931,0.625,1,1
1,0.5029148631210116,0.635,1,1
1,0.5026492004843142,0.65,1,1
1,0.4992309473307054,0.58,0,1
1,0.5028396075290926,0.64,1,1
1,0.5022744337188847,0.635,1,1
1,0.5004402089741062,0.57,1,1
1,0.5002545551895452,0.57,1,1
1,0.5006435864481696,0.585,1,1
1,0.5027229558728911,0.65,1,1
1,0.5012867507642845,0.605,1,1
1,0.501481715121656,0.635,1,1
1,0.4998694475898514,0.56,0,1
1,0.5028917882089003,0.64,1,1
1,0.5029825850405527,0.645,1,1
1,0.501552274680207,0.625,1,1
1,0.5026981613576693,0.65,1,1
1,0.501179195700562,0.605,1,1
1,0.5003602995602418,0.56,1,1
1,0.49968664016567527,0.565,0,1
